Date,Bedtime,Wake Up Time,Amount of Sleep
2021.01.28,02:30,08:00,5h30m
2021.01.27,01:00,08:00,7h
2021.01.26,02:00,08:00,6h
2021.01.25,03:00,08:50,5h50m
2021.01.24,00:30,07:00,6h30m
2021.01.17,00:30,08:00,7h30m
2021.01.16,23:00,08:00,9h
2021.01.15,00:30,07:00,6h30m
2021.01.13,23:30,06:20,6h50m
2021.01.11,02:00,07:30,5h30m
2021.01.10,00:00,06:00,6h
2021.01.08,00:30,07:40,7h10m
2021.01.07,01:00,08:00,7h
2021.01.06,01:30,09:00,7h30m
2021.01.05,02:30,10:00,8h
2021.01.04,00:00,07:50,7h50m
2021.01.03,04:00,07:50,3h50m
